Category,Course Code,Course Name,Credits,URL
Wellness,APPH1040,Scientific Foundations of Health,2,https://catalog.gatech.edu/search/?P=APPH%201040
Wellness,orAPPH1050,The Science of Physical Activity and Health,2,https://catalog.gatech.edu/search/?P=APPH%201050
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2,https://catalog.gatech.edu/search/?P=APPH%201060
Core A - Essential Skills,ENGL1101,English Composition I,3,https://catalog.gatech.edu/search/?P=ENGL%201101
Core A - Essential Skills,ENGL1102,English Composition II,3,https://catalog.gatech.edu/search/?P=ENGL%201102
Core A - Essential Skills,MATH1552,Integral Calculus,4,https://catalog.gatech.edu/search/?P=MATH%201552
Core B - Institutional Options,CS1301,Introduction to Computing,3,https://catalog.gatech.edu/search/?P=CS%201301
Core B - Institutional Options,orCS1371,Computing for Engineers,3,https://catalog.gatech.edu/search/?P=CS%201371
Core C - Humanities,Any HUM,6,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/core-area-c/#
Core D - Science, Math, & Technology,PHYS2211,Introductory Physics I,4,https://catalog.gatech.edu/search/?P=PHYS%202211
Core D - Science, Math, & Technology,PHYS2212,Introductory Physics II,4,https://catalog.gatech.edu/search/?P=PHYS%202212
Core D - Science, Math, & Technology,MATH1551,Differential Calculus,2,https://catalog.gatech.edu/search/?P=MATH%201551
Core D - Science, Math, & Technology,MATH1553,Introduction to Linear Algebra,2,https://catalog.gatech.edu/search/?P=MATH%201553
Core D - Science, Math, & Technology,orMATH1554,Linear Algebra,2,https://catalog.gatech.edu/search/?P=MATH%201554
Core D - Science, Math, & Technology,orMATH1564,Linear Algebra with Abstract Vector Spaces,2,https://catalog.gatech.edu/search/?P=MATH%201564
Core E - Social Sciences,Choose one of the following:,3
Core E - Social Sciences,HIST2111,The United States to 1877,,https://catalog.gatech.edu/search/?P=HIST%202111
Core E - Social Sciences,HIST2112,The United States since 1877,,https://catalog.gatech.edu/search/?P=HIST%202112
Core E - Social Sciences,INTA1200,American Government in Comparative Perspective,,https://catalog.gatech.edu/search/?P=INTA%201200
Core E - Social Sciences,POL1101,Government of the United States,,https://catalog.gatech.edu/search/?P=POL%201101
Core E - Social Sciences,PUBP3000,American Constitutional Issues,,https://catalog.gatech.edu/search/?P=PUBP%203000
Core E - Social Sciences,Any SS,9,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/core-area-e/#
Core F - Courses Related to Major,MATH2551,Multivariable Calculus,4,https://catalog.gatech.edu/search/?P=MATH%202551
Core F - Courses Related to Major,MATH2552,Differential Equations,4,https://catalog.gatech.edu/search/?P=MATH%202552
Core F - Courses Related to Major,CHEM1310,General Chemistry,4,https://catalog.gatech.edu/search/?P=CHEM%201310
Core F - Courses Related to Major,orCHEM1211K,Chemical Principles I,4,https://catalog.gatech.edu/search/?P=CHEM%201211K
Core F - Courses Related to Major,PHYS2213,Introduction to Modern Physics,3,https://catalog.gatech.edu/search/?P=PHYS%202213
Core F - Courses Related to Major,PHYS3201,Classical Mechanics I,3,https://catalog.gatech.edu/search/?P=PHYS%203201
Upper-Level Physics,PHYS3122,Electrostatics and Magnetostatics,3,https://catalog.gatech.edu/search/?P=PHYS%203122
Upper-Level Physics,PHYS3123,Electrodynamics,3,https://catalog.gatech.edu/search/?P=PHYS%203123
Upper-Level Physics,PHYS3141,Thermodynamics,3,https://catalog.gatech.edu/search/?P=PHYS%203141
Upper-Level Physics,PHYS3143,Quantum Mechanics I,3,https://catalog.gatech.edu/search/?P=PHYS%203143
Upper-Level Physics,PHYS3211,Electronics I,5,https://catalog.gatech.edu/search/?P=PHYS%203211
Upper-Level Physics,PHYS3266,Computational Physics,4,https://catalog.gatech.edu/search/?P=PHYS%203266
Upper-Level Physics,PHYS4206,Electronics II,5,https://catalog.gatech.edu/search/?P=PHYS%204206
Upper-Level Physics,PHYS4321,Advanced Laboratory I,3,https://catalog.gatech.edu/search/?P=PHYS%204321
Upper-Level Physics,PHYS4601,Senior Seminar I,1,https://catalog.gatech.edu/search/?P=PHYS%204601
Upper-Level Physics,PHYS4602,Senior Seminar II,1,https://catalog.gatech.edu/search/?P=PHYS%204602
Physics or Technical Electives,Any PHYS or Technical Electives,14
Free Electives,Free Electives,14
Free Electives,Total Credit Hours,122
