Category,Course Code,Course Name,Credits
Wellness Requirement,APPH1040,Scientific Foundations of Health,2
Wellness Requirement,orAPPH1050,The Science of Physical Activity and Health,2
Wellness Requirement,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2
Institutional Priority,CS1371,Computing for Engineers,3
Mathematics and Quantitative Skills,MATH1552,Integral Calculus,4
Political Science and U.S. History,HIST2111,The United States to 1877,3
Political Science and U.S. History,orHIST2112,The United States since 1877,3
Political Science and U.S. History,orINTA1200,American Government in Comparative Perspective,3
Political Science and U.S. History,orPOL1101,Government of the United States,3
Political Science and U.S. History,orPUBP3000,American Constitutional Issues,3
"Art, Humanities, and Ethics",Any HUM,SELECT,6
Communicating in Writing,ENGL1101,English Composition I,3
Communicating in Writing,ENGL1102,English Composition II,3
"Technology, Mathematics, and Sciences",PHYS2211,Introductory Physics I,4
"Technology, Mathematics, and Sciences",CHEM1211K,Chemical Principles I,4
"Technology, Mathematics, and Sciences",MATH1551,Differential Calculus,2
"Technology, Mathematics, and Sciences",MATH1553,Introduction to Linear Algebra,2
Social Sciences,Any SS,SELECT,9
Field of Study,MATH2551,Multivariable Calculus,4
Field of Study,MATH2552,Differential Equations,4
Field of Study,CHEM1212K,Chemical Principles II,4
Field of Study,orPHYS2212,Introductory Physics II,4
Field of Study,EAS Technical Electives,5
EAS Core,EAS1600,Introduction to Environmental Science,4
EAS Core,EAS2600,Earth Processes,4
EAS Core,EAS2655,Quantitative Techniques in Earth and Atmospheric Sciences,3
EAS Core,EAS3603,Thermodynamics of Earth Systems,3
EAS Core,Select two of the following:,SELECT,6
EAS Core,EAS3610,Introduction to Geophysics,
EAS Core,EAS4200,Structural Geology and Continuum Mechanics,
EAS Core,EAS4220,Environmental Geochemistry,
EAS Core,EAS4305,Physical and Chemical Oceanography,
EAS Core,EAS4370,Physics of Planets,
EAS Core,EAS4655,Atmospheric Dynamics,
EAS Core,EAS4740,Atmospheric Chemistry Laboratory,
EAS Core,Select one of the following:,SELECT,1
EAS Core,EAS4200,Structural Geology and Continuum Mechanics,1
EAS Core,EAS4221,Environmental Geochemistry Lab,1
EAS Core,EAS4656,Atmospheric Dynamics Practicum,1
EAS Core,EAS Capstone,7
EAS Core,EAS4420,Environmental Field Methods,1
EAS Core,EAS4610,Earth System Modeling,1
EAS Core,Research Option,SELECT,
EAS Technical Electives,Select 14 credit hours from the following:,SELECT,14
EAS Technical Electives,CEE4210,Hydrology,
EAS Technical Electives,CEE4300,Environmental Engineering Systems,
EAS Technical Electives,CEE4330,Air Pollution Engineering,
EAS Technical Electives,EAS1601,Habitable Planet,
EAS Technical Electives,EAS2420,Environmental Measures of Urban and Regional Change,
EAS Technical Electives,EAS2551,Introduction to Meteorological Analysis,
EAS Technical Electives,EAS2750,Physics of the Weather,
EAS Technical Electives,EAS 3000-level or higher,
Free Electives,Free Electives,SELECT,18
Free Electives,Total Credit Hours,122
